Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades
BAJAUTOFIN,EQ,01-Jan-2003,48.1,49.5,49.5,48.5,49.0,49.0,49.14,3595,176665.0,-
BAJAUTOFIN,EQ,02-Jan-2003,49.0,49.0,49.25,49.0,49.0,49.0,49.04,1975,96852.5,-
BAJAUTOFIN,EQ,03-Jan-2003,49.0,48.0,49.25,48.0,49.1,49.15,48.83,761,37158.75,-
BAJAUTOFIN,EQ,06-Jan-2003,49.15,46.0,48.75,46.0,48.5,48.55,48.27,809,39054.25,-
BAJAUTOFIN,EQ,07-Jan-2003,48.55,47.0,49.25,47.0,49.0,49.0,48.86,1138,55606.5,-
BAJAUTOFIN,EQ,08-Jan-2003,49.0,47.05,49.35,47.05,48.8,49.0,48.96,2659,130175.85,-
BAJAUTOFIN,EQ,09-Jan-2003,49.0,48.0,49.2,47.6,48.25,48.15,48.37,5755,278341.75,-
BAJAUTOFIN,EQ,10-Jan-2003,48.15,47.0,49.1,47.0,48.55,48.55,48.54,1904,92418.35,-
BAJAUTOFIN,EQ,13-Jan-2003,48.55,48.75,48.95,47.7,48.95,48.95,48.27,927,44750.65,-
BAJAUTOFIN,EQ,14-Jan-2003,48.95,49.0,53.85,48.0,53.0,53.1,52.92,13459,712215.25,-
BAJAUTOFIN,EQ,15-Jan-2003,53.1,52.3,53.85,50.0,51.75,51.75,52.29,37195,1945053.1,-
BAJAUTOFIN,EQ,16-Jan-2003,51.75,51.75,51.75,50.25,50.25,50.25,51.04,5435,277414.1,-
BAJAUTOFIN,EQ,17-Jan-2003,50.25,50.5,50.5,49.95,49.95,49.95,50.08,2622,131298.05,-
BAJAUTOFIN,EQ,20-Jan-2003,49.95,49.5,50.0,48.6,48.95,49.0,49.13,2670,131177.45,-
BAJAUTOFIN,EQ,21-Jan-2003,49.0,48.95,50.5,48.95,49.1,49.2,49.82,931,46381.2,-
BAJAUTOFIN,EQ,22-Jan-2003,49.2,49.0,52.5,49.0,49.0,49.25,49.89,1301,64904.75,-
BAJAUTOFIN,EQ,23-Jan-2003,49.25,49.9,50.0,49.3,49.45,49.45,49.5,5355,265085.5,-
BAJAUTOFIN,EQ,24-Jan-2003,49.45,49.1,49.2,48.95,48.95,48.95,49.05,2001,98156.7,-
BAJAUTOFIN,EQ,27-Jan-2003,48.95,49.1,49.5,48.5,49.0,48.95,49.05,3020,148136.75,-
BAJAUTOFIN,EQ,28-Jan-2003,48.95,48.3,49.2,48.25,48.25,48.5,48.46,7355,356418.35,-
BAJAUTOFIN,EQ,29-Jan-2003,48.5,45.0,49.25,45.0,49.0,49.0,48.29,700,33802.5,-
BAJAUTOFIN,EQ,30-Jan-2003,49.0,48.3,49.3,48.25,48.3,48.3,48.48,1350,65452.0,-
BAJAUTOFIN,EQ,31-Jan-2003,48.3,49.9,49.9,48.45,48.5,48.5,48.64,800,38915.0,-
BAJAUTOFIN,EQ,03-Feb-2003,48.5,48.4,49.65,47.7,49.65,49.3,48.93,4300,210383.95,-
BAJAUTOFIN,EQ,04-Feb-2003,49.3,48.25,49.5,48.2,49.5,48.9,48.65,2776,135054.3,-
BAJAUTOFIN,EQ,05-Feb-2003,48.9,49.4,49.85,48.6,49.0,49.0,49.06,2161,106025.8,-
BAJAUTOFIN,EQ,06-Feb-2003,49.0,48.9,49.0,48.6,48.75,48.95,48.92,1640,80227.5,-
BAJAUTOFIN,EQ,07-Feb-2003,48.95,48.55,49.0,48.55,48.8,48.8,48.97,8978,439669.1,-
BAJAUTOFIN,EQ,10-Feb-2003,48.8,48.0,49.5,48.0,49.4,49.4,49.2,37183,1829460.95,-
BAJAUTOFIN,EQ,11-Feb-2003,49.4,49.0,49.4,48.65,48.75,48.75,48.91,7063,345463.3,-
BAJAUTOFIN,EQ,12-Feb-2003,48.75,49.0,52.95,49.0,50.4,50.35,50.85,12369,628905.5,-
BAJAUTOFIN,EQ,14-Feb-2003,50.35,48.0,50.0,48.0,49.6,49.6,49.75,8503,423037.0,-
BAJAUTOFIN,EQ,17-Feb-2003,49.6,52.5,52.5,49.0,50.7,50.6,50.62,11977,606300.0,-
BAJAUTOFIN,EQ,18-Feb-2003,50.6,50.45,51.15,50.45,50.6,50.8,50.87,13793,701672.55,-
BAJAUTOFIN,EQ,19-Feb-2003,50.8,60.0,60.0,46.2,51.75,51.7,51.3,4675,239819.3,-
BAJAUTOFIN,EQ,20-Feb-2003,51.7,50.1,52.3,50.1,51.4,51.4,51.53,2959,152469.15,-
BAJAUTOFIN,EQ,21-Feb-2003,51.4,51.0,51.4,50.25,51.0,51.0,51.02,1136,57959.85,-
BAJAUTOFIN,EQ,24-Feb-2003,51.0,50.85,52.0,50.75,51.2,51.5,51.33,5199,266871.95,-
BAJAUTOFIN,EQ,25-Feb-2003,51.5,48.25,51.8,48.25,50.6,50.8,51.2,3806,194862.2,-
BAJAUTOFIN,EQ,26-Feb-2003,50.8,47.0,52.0,47.0,50.0,50.0,50.12,2481,124346.45,-
BAJAUTOFIN,EQ,27-Feb-2003,50.0,51.85,51.85,50.0,51.0,51.0,51.01,2525,128795.0,-
BAJAUTOFIN,EQ,28-Feb-2003,51.0,50.6,51.5,49.6,51.0,51.0,50.83,3542,180026.95,-
BAJAUTOFIN,EQ,03-Mar-2003,51.0,49.5,51.0,49.5,50.5,50.5,50.33,3077,154880.4,-
BAJAUTOFIN,EQ,04-Mar-2003,50.5,49.5,50.5,49.5,49.7,49.7,49.89,642,32028.65,-
BAJAUTOFIN,EQ,05-Mar-2003,49.7,49.75,50.1,49.0,49.0,49.3,49.63,2740,135979.95,-
BAJAUTOFIN,EQ,06-Mar-2003,49.3,49.5,50.5,48.95,49.05,49.15,49.26,7060,347800.2,-
BAJAUTOFIN,EQ,07-Mar-2003,49.15,48.75,49.0,48.5,48.7,48.7,48.81,5705,278473.1,-
BAJAUTOFIN,EQ,10-Mar-2003,48.7,48.3,50.0,48.2,48.5,48.5,48.55,4671,226795.95,-
BAJAUTOFIN,EQ,11-Mar-2003,48.5,48.0,49.2,48.0,49.05,48.7,48.65,1733,84303.85,-
BAJAUTOFIN,EQ,12-Mar-2003,48.7,49.0,49.0,48.5,48.8,48.8,48.73,1011,49270.3,-
BAJAUTOFIN,EQ,13-Mar-2003,48.8,48.3,49.8,47.5,47.85,47.9,48.11,7902,380130.2,-
BAJAUTOFIN,EQ,17-Mar-2003,47.9,48.0,49.0,47.8,49.0,48.85,48.3,1350,65202.5,-
BAJAUTOFIN,EQ,19-Mar-2003,48.85,48.2,49.0,48.2,49.0,48.85,48.43,1025,49643.0,-
BAJAUTOFIN,EQ,20-Mar-2003,48.85,49.0,49.05,48.5,49.05,49.05,48.83,825,40282.5,-
BAJAUTOFIN,EQ,21-Mar-2003,49.05,48.6,49.1,48.5,48.5,48.85,48.91,2172,106240.7,-
BAJAUTOFIN,EQ,22-Mar-2003,48.85,49.0,49.1,49.0,49.0,49.05,49.01,700,34310.0,-
BAJAUTOFIN,EQ,24-Mar-2003,49.05,48.6,48.6,48.6,48.6,48.6,48.6,100,4860.0,-
BAJAUTOFIN,EQ,25-Mar-2003,48.6,48.6,48.6,47.5,47.9,47.85,47.99,1784,85620.35,-
BAJAUTOFIN,EQ,26-Mar-2003,47.85,47.95,50.0,47.75,47.95,48.05,48.04,10470,502947.6,-
BAJAUTOFIN,EQ,27-Mar-2003,48.05,48.1,48.15,48.0,48.05,48.05,48.07,1396,67108.0,-
BAJAUTOFIN,EQ,28-Mar-2003,48.05,47.8,48.45,47.2,47.5,48.1,47.96,15057,722187.9,-
BAJAUTOFIN,EQ,31-Mar-2003,48.1,48.25,48.25,47.05,47.5,47.55,47.71,3836,183024.75,-
BAJAUTOFIN,EQ,01-Apr-2003,47.55,47.8,47.95,47.6,47.8,47.8,47.81,20750,992075.75,-
BAJAUTOFIN,EQ,02-Apr-2003,47.8,47.55,48.15,47.55,48.15,47.8,47.75,17128,817814.9,-
BAJAUTOFIN,EQ,03-Apr-2003,47.8,52.45,52.45,47.65,48.5,48.45,48.23,2820,136022.0,-
BAJAUTOFIN,EQ,04-Apr-2003,48.45,48.9,48.95,48.5,48.8,48.7,48.82,2300,112287.5,-
BAJAUTOFIN,EQ,07-Apr-2003,48.7,49.0,50.0,48.4,48.45,48.5,48.62,12010,583984.1,-
BAJAUTOFIN,EQ,08-Apr-2003,48.5,48.75,48.75,48.1,48.6,48.6,48.45,1530,74131.5,-
BAJAUTOFIN,EQ,09-Apr-2003,48.6,48.9,49.0,48.0,48.0,48.1,48.29,8270,399337.0,-
BAJAUTOFIN,EQ,10-Apr-2003,48.1,47.75,48.5,47.5,47.75,47.75,47.86,3900,186640.0,-
BAJAUTOFIN,EQ,11-Apr-2003,47.75,48.45,49.0,47.8,48.0,48.0,48.34,8520,411887.0,-
BAJAUTOFIN,EQ,15-Apr-2003,48.0,47.65,48.95,47.6,48.7,48.7,48.41,802,38822.7,-
